# ZDT 采样  2026-09-17 00:28:16
# 电机=[1, 2]  目标=20Hz  轮询等待=0.08s
# 角度 度 / 电压 mV / 电流 mA / speed_rpm 带符号 / *_flags 为位域原件
t_s,addr,bus_mv,phase_ma,encoder,target_deg,speed_rpm,pos_deg,err_deg,homing_flags,motor_status
2.196862,1,11050,12,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
2.212358,2,11163,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
2.257678,1,11054,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
2.272053,2,11183,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
2.319005,1,11032,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
2.334614,2,11190,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
2.379585,1,11033,12,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
2.396153,2,11187,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
2.441567,1,11036,12,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
2.456585,2,11204,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
2.501657,1,11042,12,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
2.517883,2,11213,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
2.562962,1,11034,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
2.579321,2,11149,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
2.623605,1,11037,12,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
2.638961,2,11217,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
2.684705,1,11047,12,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
2.700142,2,11184,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
2.745956,1,11048,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
2.760961,2,11197,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
2.807342,1,11033,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
2.822512,2,11194,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
2.867673,1,11033,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
2.882877,2,11186,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
2.929297,1,11045,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
2.943424,2,11131,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
2.988679,1,11059,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
3.004454,2,11191,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
3.050496,1,11031,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
3.066496,2,11179,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
3.111648,1,11033,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
3.126647,2,11163,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
3.172174,1,11046,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
3.187876,2,11203,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
3.232914,1,11060,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
3.247914,2,11184,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
3.292796,1,10993,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
3.307766,2,11204,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
3.353586,1,11043,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
3.369262,2,11183,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
3.414045,1,11028,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
3.428619,2,11183,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
3.474605,1,11040,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
3.489433,2,11221,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
3.535956,1,11034,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
3.5504,2,11201,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
3.596045,1,11025,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
3.611055,2,11213,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
3.656744,1,11060,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
3.671748,2,11221,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
3.718263,1,10987,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
3.732267,2,11180,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
3.777463,1,11031,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
3.79335,2,11239,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
3.838159,1,11044,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
3.854229,2,11182,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
3.898517,1,11026,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
3.913886,2,11214,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
3.959452,1,11046,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
3.974202,2,11146,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
4.01901,1,11043,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
4.034953,2,11168,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
4.080985,1,11020,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
4.09666,2,11177,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
4.143439,1,11044,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
4.157583,2,11165,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
4.202879,1,11027,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
4.218465,2,11205,14,36516,0.02197265625,0,0.02197265625,0.0,11,3
4.264227,1,11037,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
4.279362,2,11160,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
4.325061,1,11030,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
4.340075,2,11173,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
4.386978,1,11019,12,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
4.402127,2,11186,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
4.448491,1,11031,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
4.463495,2,11203,16,36516,0.02197265625,0,0.02197265625,0.0,11,3
4.508947,1,11068,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
4.523952,2,11177,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
4.569644,1,11035,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
4.585187,2,11162,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
4.630521,1,11017,12,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
4.645512,2,11194,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
4.690606,1,11039,12,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
4.705941,2,11206,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
4.751449,1,11033,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
4.765978,2,11191,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
4.812901,1,11045,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
4.827525,2,11193,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
4.87306,1,11044,13,63384,-0.032958984375,0,-0.0439453125,0.0054931640625,11,3
4.88854,2,11171,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
4.934013,1,11027,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
4.949157,2,11179,14,36516,0.02197265625,0,0.02197265625,0.0,11,3
4.99463,1,11018,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
5.009903,2,11201,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
5.054587,1,11022,12,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
5.070091,2,11177,14,36516,0.02197265625,0,0.02197265625,0.0,11,3
5.115021,1,11047,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
5.130025,2,11206,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
5.175457,1,11046,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
5.190359,2,11144,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
5.236881,1,11036,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
5.251217,2,11176,14,36516,0.02197265625,0,0.02197265625,0.0,11,3
5.296479,1,11017,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
5.312083,2,11198,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
5.356553,1,11067,12,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
5.371952,2,11211,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
5.416085,1,11039,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
5.432089,2,11149,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
5.477942,1,11087,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
5.493217,2,11192,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
5.538154,1,11066,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
5.553161,2,11202,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
5.598642,1,11033,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
5.613673,2,11186,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
5.661382,1,11054,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
5.674582,2,11125,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
5.72135,1,11033,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
5.735943,2,11190,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
5.78109,1,11043,12,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
5.796656,2,11191,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
5.842396,1,11027,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
5.857591,2,11163,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
5.903693,1,11034,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
5.918871,2,11171,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
5.963859,1,11049,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
5.979244,2,11177,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
6.024903,1,11035,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
6.039863,2,11177,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
6.087046,1,11033,13,63386,-0.032958984375,0,-0.032958984375,0.0,11,3
6.10164,2,11235,15,36516,0.02197265625,0,0.02197265625,0.0,11,3
